Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
39,79,19,76,55
62,51,91,71,60
,13,15,12,99
51,,29,52,97
,52,40,,35
91,,52,19,89
6,45,23,90,26
,76,,53,43
93,28,63,68,
88,33,,35,95
65,43,,81,91
21,92,88,43,
78,44,18,55,16
,12,76,93,38
,29,58,15,12
16,7,5,17,
73,,,75,13
,6,46,57,5
99,88,,5,7
92,18,39,81,55
45,9,75,99,87
62,,83,,83
74,98,,16,88
,24,22,,32
7,22,51,28,71
47,94,33,43,
59,23,48,30,18
4,,,,
18,62,32,20,68
,,8,87,9
,57,66,77,32
98,82,18,95,76
12,38,94,86,79
29,90,49,,27
49,84,29,68,13
49,,,,49
13,32,,62,81
,39,60,15,10
36,33,42,58,65
48,88,51,,42
39,,72,98,89
,0,77,11,72
44,70,47,,
38,65,13,,
78,44,58,52,36
88,16,,61,23
7,92,48,82,35
34,65,25,62,30
19,10,78,20,31
,38,15,1,38
73,64,91,,69
64,53,61,51,36
80,15,6,18,
56,0,26,85,34
87,31,18,50,67
19,70,54,93,92
93,55,79,,65
93,87,63,77,26
47,79,87,41,59
53,57,70,83,11
51,81,63,14,24
1,57,,,47
5,64,,21,92
46,85,,89,
53,,94,88,18
78,90,76,33,56
62,47,65,21,86
37,,59,59,56
24,34,92,77,93
,,79,96,29
,89,47,94,86
,92,,16,62
,22,1,,
64,10,,39,43
,91,19,,81
35,3,20,69,88
34,,80,68,31
,80,,5,15
13,5,94,,
,58,58,81,
58,22,63,,93
20,,30,64,26
33,75,68,84,60
66,,25,7,88
53,95,34,4,0
29,82,,7,48
4,24,61,96,16
75,0,73,92,78
10,23,9,27,93
,,84,,45
,32,12,37,65
88,21,52,,
,3,39,45,30
,64,46,78,68
86,4,17,10,59
,53,82,,22
37,9,38,,84
71,51,50,,2
59,14,77,73,
31,88,47,19,
94,50,93,,56
87,67,83,77,59
76,28,88,17,44
64,32,60,80,39
39,59,90,88,46
,22,57,12,48
19,13,18,90,80
68,4,77,86,
53,46,89,40,83
67,34,45,71,54
26,69,23,21,
42,5,80,98,
,35,85,78,14
10,96,86,80,39
53,97,8,5,
,41,21,62,
40,60,56,80,7
47,,93,10,87
92,8,96,0,28
26,3,35,28,67
62,43,99,92,26
29,72,0,88,
17,14,67,,54
82,11,86,46,
38,17,,36,62
,51,,69,
,69,89,67,46
17,33,18,2,41
38,,1,74,52
22,89,,,73
9,94,64,21,44
30,87,97,64,79
51,63,86,58,95
57,,51,42,13
23,0,47,79,16
92,29,,3,72
21,93,72,30,15
78,32,86,,39
98,,90,0,30
,3,47,,26
,57,,,86
98,19,10,6,
76,25,14,80,59
89,,,74,73
81,69,37,34,4
,12,,11,
25,90,48,55,
71,74,37,84,70
0,,4,29,
63,36,53,64,73
76,39,,,92
69,52,98,43,57
1,44,3,38,5
77,3,32,2,56
87,71,65,93,42
49,26,8,74,86
50,59,17,,19
53,21,86,44,54
99,3,32,51,72
,52,10,,28
2,39,62,35,21
5,32,82,48,32
75,,22,49,
,62,56,14,72
47,96,26,59,54
,69,79,32,
90,1,,63,38
50,46,,67,
94,,25,77,
4,,,63,28
31,72,25,69,60
1,84,81,16,4
41,,,94,83
76,48,,21,26
73,93,,51,26
,,96,9,67
84,38,,14,68
82,26,21,11,90
65,,98,86,75
,,,17,26
25,66,64,82,57
